"ANO","NIVEL","CODMUNRES","POPRE_T","POPRC_T","POPRC_M","POPRC_F","POPRC_15","POPRC_15_49","POPRC_50","POPRC_F_15","POPRC_F_15_49","POPRC_F_50","IDHM_A","IDHM_CA","IDHM_CA_M","IDHM_CA_F","TN","TNRC","TNRCR","TGI_15","TGI_15_19","TGI_20_24","TGI_25_29","TGI_30_34","TGI_35_39","TGI_40_44","TGI_45_49","TGI_50","TGIF","IM_P25","IM_P50","IM_P75","IM_MD","IM_DP","EM_S","EM_FI","EM_FII","EM_M","EM_SI","EM_SC","TGRC_B","TGRC_PT","TGRC_A","TGRC_PD","TGRC_I","TGSC","TGCC","TGPRI","TGNPRI","TGU","TGG","TGD_22","TGD_22_27","TGD_28_31","TGD_32_36","TGD_37_41","TGD_42","TGD_PRT","TGD_AT","TGD_PST","DG_P25","DG_P50","DG_P75","DG_MD","DG_DP","TKC_NR","TKC_ID","TKC_IT","TKC_AD","TKC_MAD","TGPRG_S","TGPRG_N","TRAP_C","TRAP_P","TRAP_T","TGROB_1","TGROB_2","TGROB_3","TGROB_4","TGROB_5","TGROB_6","TGROB_7","TGROB_8","TGROB_9","TGROB_10","TNLOC_H","TNLOC_ES","TNLOC_D","TNLOC_O","TNLOC_AI","TRS_M","TRS_F","TRRC_B","TRRC_PT","TRRC_A","TRRC_PD","TRRC_I","TRP_BP","TRP_N","TRP_M","PESO_P25","PESO_P50","PESO_P75","PESO_MD","PESO_DP","TRPIG_P","TRPIG_A","TRPIG_G","TRAC","TRSAC","TO_M","TO","TO_NN","TO_N","TO_F","TO_F_IF","TO_FT","TO_NT","TO_MT","TO_MT_DG","TO_MT_PT","TO_MT_AB","TO_MT_42","TO_MT_43","TO_MT_P","TO_MT_P_I","TO_MT_P_ES","TO_MT_P_EFI","TO_MT_P_EFII","TO_MT_P_EM","TO_MT_P_ESI","TO_MT_P_ESC","POPR_RA","POPR_RE","TFG","RMM","TMM","TMN","TMG"
2015,"MUNICIPIO",5101852,6018,5314,2856,2458,1522,2994,798,725,1416,317,NA,"0,661",NA,NA,143,0,82,0,0,0,0,143,0,0,0,0,143,19,23,29,23.76,6.96,7,26,41,55,5,4,15,3,0,62,43,21,117,91,52,143,0,0,1,3,8,112,10,12,112,10,38,39,40,38.65,2.53,0,54,16,10,53,0,143,136,4,0,24,19,35,9,29,2,2,0,0,11,107,1,35,0,0,73,70,15,3,0,62,46,0,143,0,3060,3350,3600,3305.62,626.92,7,103,19,0,141,0,42,9,33,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,100.99,0,0,6.99,6.98
2015,"MUNICIPIO",5101902,17815,15357,8285,7072,4430,8763,2164,2216,3973,883,NA,"0,696",NA,NA,303,0,289,0,0,0,0,303,0,0,0,0,303,19,24,29,24.61,6.51,4,24,88,155,8,24,112,7,2,123,58,126,176,199,104,299,4,0,0,7,34,251,10,41,251,10,37,39,40,38.28,2.23,1,56,27,25,193,0,303,301,2,0,52,31,83,38,54,1,1,4,0,38,287,0,13,3,0,164,139,112,7,2,123,58,0,303,0,2900,3200,3500,3172.88,558.88,18,245,32,1,301,0,76,17,59,0,0,0,3,2,0,0,0,2,0,2,2,0,0,0,1,0,1,11679,NA,76.26,660.07,50.34,9.9,4.27
2015,"MUNICIPIO",5102504,90518,87942,44098,43844,23557,48311,16074,11501,24285,8058,NA,"0,708",NA,NA,1563,0,1559,0,0,0,0,1563,0,0,0,0,1563,20,25,30,25.23,6.44,4,41,348,827,129,214,252,64,1,1245,0,1202,361,944,619,1535,27,0,8,12,207,1254,80,227,1254,80,37,39,40,38.36,2.32,14,401,178,216,741,0,1563,1526,36,0,388,128,311,93,374,9,22,27,0,207,1558,0,3,2,0,801,762,252,64,1,1245,0,0,1563,0,2945,3245,3560,3223.11,537.41,90,1207,209,6,1557,0,609,66,543,0,0,0,15,2,0,0,0,1,1,1,1,0,0,0,0,1,0,76230,4.656,64.36,127.96,8.24,9.6,6.73
2015,"MUNICIPIO",5102603,15112,14305,7406,6899,5760,6729,1816,2779,3321,799,NA,"0,538",NA,NA,416,0,51,0,0,0,0,416,0,0,0,0,416,18,22,28,23.6,6.84,7,17,32,27,3,4,17,0,0,23,49,17,385,310,106,401,10,0,0,7,9,208,6,16,208,6,40,41,41,39.96,2.28,3,22,6,5,34,0,416,89,8,0,15,4,20,0,17,1,0,13,0,7,190,0,39,187,0,216,200,41,1,0,47,318,0,416,0,3000,3280,3600,3298.16,498.38,15,181,21,2,399,0,85,6,79,0,0,0,1,1,1,0,0,0,0,1,1,1,0,0,0,0,0,5786,NA,125.26,240.38,30.11,2.4,5.62
2015,"MUNICIPIO",5102637,31985,27577,14502,13075,7538,17257,2782,3678,8162,1235,NA,"0,734",NA,NA,690,0,689,0,0,0,0,690,0,0,0,0,690,20,25,30,25.3,6.21,2,27,177,360,40,84,331,33,3,307,16,117,573,444,246,683,7,0,2,4,67,614,3,73,614,3,38,38,39,38.3,1.87,5,135,33,60,450,0,690,627,16,1,76,119,86,81,201,5,8,7,1,60,690,0,0,0,0,359,331,331,33,3,307,16,0,690,0,2900,3220,3500,3198.12,512.53,31,581,71,4,685,0,111,35,76,0,0,0,7,1,0,0,0,1,0,1,1,0,0,0,1,0,0,29673,NA,84.54,144.93,12.25,10.14,3.47
2015,"MUNICIPIO",5102678,37989,31589,16282,15307,8542,18832,4215,4121,9209,1977,NA,"0,75",NA,NA,750,0,733,0,0,0,0,750,0,0,0,0,750,20,25,30,25.46,6.39,0,18,176,406,49,99,210,27,2,510,0,345,404,455,295,736,10,0,4,9,103,588,39,116,588,39,37,39,40,38.25,2.43,1,108,25,23,563,0,750,708,38,1,74,164,57,113,198,12,18,10,1,93,747,0,2,1,0,403,347,210,27,2,510,0,0,750,0,2900,3250,3560,3207.71,546.87,43,577,89,7,743,0,192,42,150,0,0,0,8,1,0,0,0,1,0,1,1,0,1,0,0,0,0,34364,9.513,81.44,133.33,10.86,10.67,5.05
2015,"MUNICIPIO",5102686,6155,5154,2665,2489,1523,3152,479,739,1548,202,NA,"0,744",NA,NA,145,0,145,0,0,0,0,145,0,0,0,0,145,20,24,28,24.37,5.52,2,3,44,78,4,13,49,5,0,91,0,54,91,94,51,142,3,0,0,3,14,123,5,17,123,5,37,39,40,38.32,2.04,2,22,6,6,107,0,145,140,4,1,24,19,17,12,51,3,1,3,1,14,57,88,0,0,0,72,73,49,5,0,91,0,0,145,0,3000,3220,3525,3242.9,515.63,7,115,19,0,145,0,21,3,18,0,0,0,2,1,0,1,0,0,0,1,1,0,0,1,0,0,0,4794,NA,93.67,689.66,64.6,13.79,3.41
2015,"MUNICIPIO",5102694,4678,4786,2549,2237,1425,2591,770,684,1230,323,NA,"0,667",NA,NA,55,0,52,0,0,0,0,55,0,0,0,0,55,19,22,26,23.02,5.47,0,4,12,32,2,2,12,1,1,40,0,15,33,29,26,55,0,0,0,0,6,47,2,6,47,2,38,39,40,38.95,1.76,0,14,8,5,26,0,55,52,1,0,21,1,18,0,6,0,1,0,0,6,54,1,0,0,0,33,22,12,1,1,41,0,0,55,0,3017,3360,3700,3395.89,497.88,3,42,10,0,55,0,12,2,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,44.72,0,0,0,2.57
2015,"MUNICIPIO",5102702,20208,18754,9650,9104,5101,10606,3047,2544,5151,1409,NA,"0,693",NA,NA,391,0,236,0,0,0,0,391,0,0,0,0,391,20,24,30,24.86,6.65,28,45,109,143,13,42,65,9,0,158,95,69,310,258,133,386,5,0,0,1,36,294,10,37,294,10,38,39,40,38.67,1.82,2,76,25,29,180,0,391,373,13,0,56,37,93,35,68,7,4,5,0,33,349,13,29,0,0,188,203,65,9,0,158,95,0,391,0,2985,3280,3600,3264.75,483.44,17,273,41,1,389,0,99,17,82,0,0,0,4,1,0,0,0,1,0,1,1,0,1,0,0,0,0,15953,NA,75.91,255.75,19.41,10.23,4.9
2015,"MUNICIPIO",5102702,20208,18754,9650,9104,5101,10606,3047,2544,5151,1409,NA,"0,587",NA,NA,391,0,236,0,0,0,0,391,0,0,0,0,391,20,24,30,24.86,6.65,28,45,109,143,13,42,65,9,0,158,95,69,310,258,133,386,5,0,0,1,36,294,10,37,294,10,38,39,40,38.67,1.82,2,76,25,29,180,0,391,373,13,0,56,37,93,35,68,7,4,5,0,33,349,13,29,0,0,188,203,65,9,0,158,95,0,391,0,2985,3280,3600,3264.75,483.44,17,273,41,1,389,0,99,17,82,0,0,0,4,1,0,0,0,1,0,1,1,0,1,0,0,0,0,15953,NA,75.91,255.75,19.41,10.23,4.9
