"ANO","NIVEL","CODMUNRES","TN","TNRC","TNRCR","TGI_15","TGI_15_19","TGI_20_24","TGI_25_29","TGI_30_34","TGI_35_39","TGI_40_44","TGI_45_49","TGI_50","TGIF","IM_P25","IM_P50","IM_P75","IM_MD","IM_DP","EM_S","EM_FI","EM_FII","EM_M","EM_SI","EM_SC","TGRC_B","TGRC_PT","TGRC_A","TGRC_PD","TGRC_I","TGSC","TGCC","TGPRI","TGNPRI","TGU","TGG","TGD_22","TGD_22_27","TGD_28_31","TGD_32_36","TGD_37_41","TGD_42","TGD_PRT","TGD_AT","TGD_PST","DG_P25","DG_P50","DG_P75","DG_MD","DG_DP","TKC_NR","TKC_ID","TKC_IT","TKC_AD","TKC_MAD","TGPRG_S","TGPRG_N","TRAP_C","TRAP_P","TRAP_T","TGROB_1","TGROB_2","TGROB_3","TGROB_4","TGROB_5","TGROB_6","TGROB_7","TGROB_8","TGROB_9","TGROB_10","TNLOC_H","TNLOC_ES","TNLOC_D","TNLOC_O","TNLOC_AI","TRS_M","TRS_F","TRRC_B","TRRC_PT","TRRC_A","TRRC_PD","TRRC_I","TRP_BP","TRP_N","TRP_M","PESO_P25","PESO_P50","PESO_P75","PESO_MD","PESO_DP","TRPIG_P","TRPIG_A","TRPIG_G","TRAC","TRSAC"
2015,"UF","51",21416,0,192,45381,1191,12122,1566,192,46,0,339,9571,38902,NA,NA,NA,25.55,6.34,0,51121,5007,147,56673,0,369,223,2506,55485,56673,9109,228,27706,37899,363,10959,48759,0,221,0,13889,13228,0,13889,13228,NA,NA,NA,38.43,2.08,21416,0,192,56673,2257,45381,54290,2506,55485,56673,1191,12122,1566,192,46,0,339,9571,38902,0,228,9109,37899,27706,363,56673,2257,10959,4069,48759,0,221,51121,5007,147,2920,3225,3530,3199.12,537.73,56673,0,5213,369,223
2015,"UF","51",35257,0,55715,5726,169,29110,5935,4676,25,0,7,5147,17415,NA,NA,NA,25.55,6.34,0,4353,34510,13771,0,3284,1927,38180,1115,1102,0,8027,383,0,1269,55983,4064,1191,56673,476,56673,2262,1537,56673,2262,1537,NA,NA,NA,38.43,2.08,35257,0,55715,0,220,5726,28962,1115,1102,0,169,29110,5935,4676,25,0,7,5147,17415,0,383,8027,1269,0,55983,0,220,4064,8077,1191,56673,476,4353,34510,13771,2920,3225,3530,3199.12,537.73,0,3284,48759,1927,38180
2015,"UF","51",55485,56673,228,363,10959,4069,48759,0,221,0,13889,13228,21416,NA,NA,NA,25.55,6.34,0,192,56673,2257,54290,45381,12122,1566,192,46,0,9571,339,0,38902,51121,5007,56673,0,5213,369,223,2506,369,223,2506,NA,NA,NA,38.43,2.08,55485,56673,228,9109,37899,363,27706,192,46,0,10959,4069,48759,0,221,0,13889,13228,21416,0,339,9571,38902,0,51121,9109,37899,5007,147,56673,0,5213,192,56673,2257,2920,3225,3530,3199.12,537.73,54290,45381,1191,12122,1566
2015,"UF","51",1102,0,383,55983,4064,8077,1191,56673,476,56673,2262,1537,35257,NA,NA,NA,25.55,6.34,0,55715,0,220,28962,5726,29110,5935,4676,25,0,5147,7,0,17415,4353,34510,0,3284,48759,1927,38180,1115,1927,38180,1115,NA,NA,NA,38.43,2.08,1102,0,383,8027,1269,55983,0,4676,25,0,4064,8077,1191,56673,476,56673,2262,1537,35257,0,7,5147,17415,0,4353,8027,1269,34510,13771,0,3284,48759,55715,0,220,2920,3225,3530,3199.12,537.73,28962,5726,169,29110,5935
2015,"UF","51",46,0,339,51121,5007,147,56673,0,5213,369,223,2506,55485,NA,NA,NA,25.55,6.34,56673,228,9109,37899,27706,363,4069,48759,0,221,0,13228,13889,0,21416,192,56673,54290,45381,1191,12122,1566,192,12122,1566,192,NA,NA,NA,38.43,2.08,46,0,339,9571,38902,51121,0,0,221,0,5007,147,56673,0,5213,369,223,2506,55485,56673,13889,13228,21416,0,192,9571,38902,56673,2257,54290,45381,1191,228,9109,37899,2920,3225,3530,3199.12,537.73,27706,363,10959,4069,48759
2015,"UF","51",25,0,7,4353,34510,13771,0,3284,48759,1927,38180,1115,1102,NA,NA,NA,25.55,6.34,0,383,8027,1269,0,55983,8077,1191,56673,476,56673,1537,2262,0,35257,55715,0,28962,5726,169,29110,5935,4676,29110,5935,4676,NA,NA,NA,38.43,2.08,25,0,7,5147,17415,4353,0,56673,476,56673,34510,13771,0,3284,48759,1927,38180,1115,1102,0,2262,1537,35257,0,55715,5147,17415,0,220,28962,5726,169,383,8027,1269,2920,3225,3530,3199.12,537.73,0,55983,4064,8077,1191
2015,"UF","51",221,0,13889,192,56673,2257,54290,45381,1191,12122,1566,192,46,NA,NA,NA,25.55,6.34,0,339,9571,38902,0,51121,147,56673,0,5213,369,2506,223,56673,55485,228,9109,27706,363,10959,4069,48759,0,4069,48759,0,NA,NA,NA,38.43,2.08,221,0,13889,13228,21416,192,0,0,5213,369,56673,2257,54290,45381,1191,12122,1566,192,46,0,223,2506,55485,56673,228,13228,21416,9109,37899,27706,363,10959,339,9571,38902,2920,3225,3530,3199.12,537.73,0,51121,5007,147,56673
2015,"UF","51",476,56673,2262,55715,0,220,28962,5726,169,29110,5935,4676,25,NA,NA,NA,25.55,6.34,0,7,5147,17415,0,4353,13771,0,3284,48759,1927,1115,38180,0,1102,383,8027,0,55983,4064,8077,1191,56673,8077,1191,56673,NA,NA,NA,38.43,2.08,476,56673,2262,1537,35257,55715,0,3284,48759,1927,0,220,28962,5726,169,29110,5935,4676,25,0,38180,1115,1102,0,383,1537,35257,8027,1269,0,55983,4064,7,5147,17415,2920,3225,3530,3199.12,537.73,0,4353,34510,13771,0
2015,"UF","51",5213,369,223,228,9109,37899,27706,363,10959,4069,48759,0,221,NA,NA,NA,25.55,6.34,0,13889,13228,21416,0,192,2257,54290,45381,1191,12122,192,1566,0,46,339,9571,0,51121,5007,147,56673,0,147,56673,0,NA,NA,NA,38.43,2.08,5213,369,223,2506,55485,228,56673,45381,1191,12122,9109,37899,27706,363,10959,4069,48759,0,221,0,1566,192,46,0,339,2506,55485,9571,38902,0,51121,5007,13889,13228,21416,2920,3225,3530,3199.12,537.73,0,192,56673,2257,54290
2015,"UF","51",48759,1927,38180,383,8027,1269,0,55983,4064,8077,1191,56673,476,NA,NA,NA,25.55,6.34,56673,2262,1537,35257,0,55715,220,28962,5726,169,29110,4676,5935,0,25,7,5147,0,4353,34510,13771,0,3284,13771,0,3284,NA,NA,NA,38.43,2.08,48759,1927,38180,1115,1102,383,0,5726,169,29110,8027,1269,0,55983,4064,8077,1191,56673,476,56673,5935,4676,25,0,7,1115,1102,5147,17415,0,4353,34510,2262,1537,35257,2920,3225,3530,3199.12,537.73,0,55715,0,220,28962
